id,title,genre
1,Sự cố VNDirect: Hacker tấn công lỗ hổng 'zero day',kinh-te
2,Thủ tướng quy định trường hợp EVN được điều chỉnh giá bán lẻ điện bình quân,kinh-te
3,Tập đoàn logistic thứ ba thế giới mong Thái Bình là 'mắt xích vận tải toàn cầu',kinh-te
4,Các thương hiệu nổi tiếng trong hệ thống Tập đoàn GELEX,kinh-te
5,Giá vàng hôm nay 26.3.2024: Quay lại mức giá 80 triệu đồng/lượng,kinh-te
6,"Giá USD hôm nay 26.3.2024: Ngân hàng giảm, thị trường tự do tăng lên 25.600 đồng",kinh-te
7,Tuổi trẻ EPS ra quân hưởng ứng ngày chủ nhật xanh,kinh-te
8,Thuế thu nhập cá nhân đã quá lạc hậu: Người làm công ăn lương đóng thuế cao hơn kinh doanh,kinh-te
9,Ủy ban Chứng khoán cảnh báo ngay trong đêm về sự cố của VNDirect,kinh-te
10,Quảng Ninh sẽ công bố vùng 'biển sạch' để thu hút doanh nghiệp đầu tư nuôi biển,kinh-te
11,"Sự cố VNDirect: Hacker quốc tế tấn công hạ tầng ảo hóa, chưa thiệt hại",kinh-te
12,Chứng khoán VNDirect bị tấn công: Có thể mất cả tháng để khắc phục?,kinh-te
13,Yêu cầu ngân hàng công khai cách tính lãi thẻ tín dụng,kinh-te
14,VCCI đề xuất tăng chi phí hỗ trợ cho nghiên cứu phát triển,kinh-te
15,Quỹ bình ổn giá xăng dầu còn gần 6.655 tỉ đồng,kinh-te
16,"9 ngày, thêm hơn 4.000 cửa hàng xăng dầu xuất hóa đơn điện tử từng lần",kinh-te
17,Chính phủ giục chọn nhà đầu tư dự án thành phần 4 sân bay Long Thành,kinh-te
18,"Giá vàng miếng SJC mất mốc 80 triệu đồng/lượng, người mua lỗ nặng",kinh-te
19,Lên kịch bản đối phó nguy cơ mất cân đối cung - cầu điện ở miền Bắc,kinh-te
20,Đến lượt HOSE ngắt kết nối với VNDIRECT,kinh-te
21,Thẻ tín dụng VieON - Cake chính thức ra mắt với nhiều ưu đãi hấp dẫn,kinh-te
22,"Gửi ở đâu 10 triệu, lợi 1 tỉ đồng?",kinh-te
23,"Lãi vay giảm sâu, ngân hàng nào không theo là mất khách",kinh-te
24,Hòa Phát cán mốc 9 triệu tấn thép cuộn cán nóng HRC,kinh-te
25,"VNDIRECT chưa thể kết nối lại, thêm 2 công ty liên quan cũng bị tấn công mạng",kinh-te
26,Khởi công cảng Mỹ Thủy hơn 14.000 tỉ đồng,kinh-te
27,Hơn 2.000 tỉ đồng cải tạo đường sắt khu vực đèo ở Quảng Bình,kinh-te
28,"Đồng Nai kiểm tra đồng loạt 42 doanh nghiệp, cửa hàng xăng dầu",kinh-te
29,Công an vào cuộc vụ hệ thống chứng khoán VNDirect bị tấn công,kinh-te
30,"Thế giới bán 150 USD/tấn carbon, Việt Nam bán quá thấp chỉ 5 USD?",kinh-te
31,"Ecopark ra mắt trung tâm giáo dục, giải trí, sáng tạo lớn bậc nhất Nghệ An",kinh-te
32,Bất ngờ Công ty chứng khoán VNDIRECT bị đánh sập hệ thống,kinh-te
33,Giá vàng hôm nay 25.3.2024: Vàng miếng SJC cao hơn thế giới 15 triệu đồng/lượng,kinh-te
34,Giá USD hôm nay 25.3.2024: Thị trường tự do lên sát 26.000 đồng,kinh-te
