id,title,genre
1,"Bộ Công thương trình 7 lần, Kế hoạch thực hiện Quy hoạch điện 8 'chưa hoàn chỉnh'",kinh-te
2,"'Lót tay' khi làm sổ đỏ, xin việc, nhập viện vẫn còn phổ biến",kinh-te
3,Bộ KH-ĐT: Sự cố VNDirect có thể ảnh hưởng nâng hạng thị trường chứng khoán,kinh-te
4,"Bác tin đồn, cổ phiếu Sacombank tăng nhẹ sáng 3.4",kinh-te
5,"Không để người dân thiếu nước sinh hoạt trong mùa nắng nóng, khô hạn",kinh-te
6,Giá vàng hôm nay 3.4.2024: Chinh phục kỷ lục mới,kinh-te
7,Giá USD hôm nay 3.4.2024: Ngân hàng đồng loạt vượt 25.000 đồng,kinh-te
8,Hai tuyến xe buýt phải chỉnh lộ trình do thi công nút giao trăm tỉ phía nam TP.HCM,kinh-te
9,Một doanh nghiệp bị phạt hơn nửa tỉ đồng do bán chui cổ phiếu,kinh-te
10,Tập đoàn đầu tư An Đông của bà Trương Mỹ Lan bị xử phạt về trái phiếu,kinh-te
11,'Thủ phủ' vải thiều Bắc Giang mất mùa,kinh-te
12,Điều tra chống bán phá giá với thép là cần thiết,kinh-te
13,Nơi nào được lấn biển?,kinh-te
14,Cơ hội phát triển từ lấn biển,kinh-te
15,'Bật ngửa' khi nhận hóa đơn tiền điện,kinh-te
16,"PVOIL bị tấn công mã hóa dữ liệu, Tổng cục Thuế tạm thời đóng kết nối",kinh-te
17,"Kiểm tra tiệm vàng trăm tỉ ở An Giang, phát hiện vàng nghi giả thương hiệu Chanel, Cartier",kinh-te
18,"Lộc Trời, Trường Thành lợi nhuận 'bốc hơi'  hàng trăm tỉ đồng sau kiểm toán",kinh-te
19,Có tổ chức trả Việt Nam tối thiểu 10 USD/tấn carbon rừng,kinh-te
20,"Lần đầu tiên Ngân hàng Nhà nước bơm tiền, giá USD tăng mạnh",kinh-te
21,Không hợp thức dự án điện sai phạm trong thực hiện Quy hoạch điện 8,kinh-te
22,"Bị tấn công 'có chủ đích', PVOil chỉ đạo bán hàng theo ghi chép thủ công",kinh-te
23,Bộ Công an: Chủ tịch Sacombank Dương Công Minh không bị cấm xuất cảnh,kinh-te
24,"'Siết' thương nhân phân phối xăng dầu, kiểm soát nguồn cung, thị trường không hỗn loạn",kinh-te
25,"Artisan Park cùng đối tác uy tín nâng tầm tiện ích, kiến tạo giá trị bền vững",kinh-te
26,Giá vàng nhẫn tăng nửa triệu đồng mỗi lượng,kinh-te
27,"PVOIL bị tấn công mã hóa dữ liệu, không thể phát hành hóa đơn điện tử",kinh-te
28,Tạo 'cần câu' phát triển kinh tế cho đồng bào dân tộc thiểu số,kinh-te
29,"Tập đoàn Sovico đạt lợi nhuận 1.485 tỉ, vốn chủ sở hữu đạt 67.412 tỉ",kinh-te
30,OCB và IFC ký kết thỏa thuận tư vấn chuyển đổi ngân hàng xanh,kinh-te
31,Nơi nào ở Nam bộ nhiệt độ tăng mạnh nhất tháng 3?,kinh-te
32,Cổ phiếu Sacombank bị bán tháo,kinh-te
33,OCB giới thiệu Apple Pay đến chủ thẻ Mastercard,kinh-te
34,"Vietjet công bố báo cáo kiểm toán 2023, với tăng trưởng mạnh mẽ mạng bay quốc tế",kinh-te
